AC233960.1_FG002	AC233960.1_FG003	GRMZM2G021270	GRMZM2G034876	GRMZM2G035213	GRMZM2G046909	GRMZM2G092749	GRMZM2G092959	GRMZM2G108087	GRMZM2G108829	GRMZM2G108996	GRMZM2G150363	GRMZM2G150374	GRMZM2G167431	GRMZM2G179147	GRMZM2G181637	GRMZM2G317738	GRMZM2G325001	GRMZM2G325019	GRMZM2G325038	GRMZM2G339499	GRMZM2G347836	GRMZM5G861093
-0.071581727	-0.923055543	1.403975696	0.91267586	0.35105981	1.318010897	1.545263217	1.351202935	0.188425032	0.902393588	1.501786817	0.372878156	0.244213829	0.571095686	-0.661717677	-0.508057465	0.944119285	-2.998020796	1.460977052	-0.174575701	1.286210621	1.697120332	0.628171949
-0.300773842	-0.003405752	-0.51582268	0.402250065	2.045954276	0.300773842	-1.056453949	-0.523619123	0.09208509	-0.167663737	0.571095686	0.563095926	0.954809756	0.758136008	1.351202935	0.571095686	0.51582268	0.776421761	-0.365586148	0.098927729	-2.998020796	-1.825439172	-2.998020796
0.492617885	-0.563095926	1.790524917	0.731172307	-0.064754379	-0.057930049	-0.044289159	0.417065588	1.545263217	0.670220259	-0.696025208	0.322224522	-0.153863466	-1.33442315	0.628171949	0.587206217	0.500322766	0.237202109	-0.279460686	-0.595318735	-2.645701413	-0.223213218	0.174575701
-0.653262666	-0.696025208	0.704730028	-0.696025208	-0.51582268	-1.130769373	1.460977052	0.636490883	0.209267873	0.776421761	-0.160759774	0.417065588	0.6448541	-1.697120332	0.230202032	0.251237576	0.133217035	0.500322766	1.240815502	-0.286550499	0.195363108	0.010217413	-2.645701413
0.571095686	-1.044626445	0.794970891	1.286210621	0.064754379	1.669043821	0.731172307	0.45451733	0.587206217	0.469675385	0.74010031	0.579132162	0.722302208	-0.216235289	-0.439462999	-0.336607179	1.117953259	2.345104662	1.726602201	-0.064754379	0.523619123	0.469675385	0.976525035
-0.279460686	1.568142731	0.923055543	0.611662814	2.345104662	0.7490877	1.009990169	1.501786817	1.642224543	1.902810954	-0.167663737	-2.998020796	-1.318010897	0.6448541	-1.318010897	0.272384894	0.09208509	-0.146974467	1.184000049	-0.078412413	1.092857156	0.209267873	-0.286550499
0.872103029	1.726602201	-0.563095926	-0.237202109	0.83291742	0.43197323	0.085246759	-0.965610478	1.422465003	0.017029548	0.365586148	1.211918765	0.394875486	0.523619123	0.933535639	0.343824517	0.758136008	-0.174575701	-0.223213218	1.48107362	1.757666049	-1.068431117	0.661717677
-1.545263217	-0.146974467	1.501786817	-1.068431117	-0.45451733	0.322224522	0.531447525	0.119484771	1.240815502	0.477294855	-0.776421761	-2.645701413	-0.571095686	0.237202109	-2.645701413	-0.852346618	-0.469675385	-2.645701413	0.017029548	-0.852346618	0.636490883	-0.244213829	-0.057930049
0.965610478	-0.902393588	-1.351202935	0.071581727	0.195363108	1.080563549	2.345104662	1.143773961	2.171527717	-0.579132162	-0.862182757	1.616536998	-0.394875486	0.767246816	1.368372038	2.104600628	-1.757666049	0.35105981	-0.842592259	0.776421761	-2.468001988	0.030656506	0.160759774
-0.823319923	-0.872103029	0.322224522	-0.678771572	-0.140092436	-0.704730028	-0.358313528	0.09208509	0.579132162	-0.492617885	1.33442315	-0.057930049	0.439462999	-0.293654744	-0.417065588	0.188425032	-0.998710851	0.140092436	-0.057930049	-0.539308633	1.080563549	1.946202375	-0.43197323
1.669043821	-0.126347925	-2.998020796	2.998020796	1.545263217	-2.998020796	-1.568142731	-2.998020796	-2.998020796	-2.249880663	2.468001988	1.697120332	-2.468001988	-0.628171949	1.211918765	1.211918765	-1.946202375	-2.468001988	-1.993601218	-0.237202109	-2.345104662	-0.6448541	0.531447525
-0.813797671	0.140092436	0.293654744	-1.197842699	0.409646587	0.286550499	0.555132042	0.216235289	0.146974467	-0.112627241	0.687372812	1.143773961	0.813797671	-0.279460686	-0.531447525	-0.862182757	0.174575701	0.023842473	0.230202032	-0.571095686	0.758136008	1.790524917	-0.064754379
0.563095926	-1.825439172	0.153863466	-0.146974467	0.153863466	0.785662535	-0.563095926	-0.402250065	-0.595318735	-0.731172307	0.051108415	-0.051108415	-1.211918765	0.424507616	-1.351202935	-0.126347925	-1.021399468	1.286210621	0.112627241	-0.279460686	1.270787244	-0.628171949	-0.133217035
1.009990169	0.071581727	0.195363108	0.09208509	0.523619123	0.167663737	-0.051108415	0.293654744	1.009990169	0.071581727	1.757666049	0.902393588	1.902810954	0.322224522	-0.071581727	1.130769373	2.104600628	0.587206217	1.143773961	-0.195363108	-2.249880663	0.547203211	0.555132042
2.645701413	2.998020796	0.547203211	1.211918765	0.469675385	2.345104662	-0.216235289	-0.704730028	0.322224522	0.636490883	-0.307908216	1.825439172	1.270787244	1.862731867	0.424507616	2.045954276	0.954809756	0.133217035	-0.500322766	1.460977052	0.112627241	0.146974467	0.636490883
-1.523165155	-0.804348643	-0.300773842	0.687372812	-0.965610478	-0.785662535	-2.104600628	-1.255660378	-0.293654744	-0.563095926	0.230202032	0.293654744	-1.993601218	-0.776421761	0.595318735	-0.45451733	-0.307908216	1.255660378	-1.226239142	-0.402250065	0.167663737	-1.441453795	-0.085246759
-0.307908216	-0.030656506	0.539308633	-0.272384894	1.422465003	-0.987557182	-1.501786817	-0.484942137	-1.044626445	-0.628171949	0.380190046	-2.468001988	-2.171527717	-0.167663737	-2.345104662	-1.156974916	-0.872103029	0.244213829	-1.080563549	-1.009990169	-2.171527717	-1.032943298	1.669043821
-0.126347925	-0.216235289	-0.030656506	-0.45451733	0.492617885	-0.91267586	1.403975696	-0.064754379	-1.156974916	-0.611662814	-1.385954264	0.230202032	0.216235289	-0.713488578	-0.09208509	-0.209267873	-0.882109877	-2.345104662	-0.722302208	-1.080563549	-2.104600628	-0.307908216	-2.468001988
-0.223213218	-0.064754379	-0.105775004	0.387522319	0.160759774	0.595318735	-0.678771572	-0.329407333	0.017029548	-0.678771572	-0.500322766	-2.345104662	-1.403975696	-0.933535639	-1.211918765	-0.057930049	-1.170380633	0.484942137	-0.696025208	0.09208509	0.336607179	0.402250065	-0.35105981
